STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,4/30/28,,,,,0,"T,,0,",19.4,",,0",10,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/1/28,,,,,0,"T,,0,",22.2,",,0",8.3,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/2/28,,,,,0,",,0,",28.3,",,0",6.7,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/3/28,,,,,0,",,0,",31.7,",,0",16.7,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/4/28,,,,,2.3,",,0,",26.1,",,0",7.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/5/28,,,,,0,"T,,0,",18.3,",,0",7.2,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/6/28,,,,,0,",,0,",11.7,",,0",3.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/7/28,,,,,0,",,0,",13.9,",,0",1.7,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/8/28,,,,,0,",,0,",22.8,",,0",2.8,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/9/28,,,,,0,",,0,",30,",,0",8.9,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/10/28,,,,,3.8,",,0,",25.6,",,0",10.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/11/28,,,,,0,",,0,",18.3,",,0",5,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/12/28,,,,,0,",,0,",11.7,",,0",-0.6,",,0",,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,5/13/28,,,,,0,",,0,",18.3,",,0",1.1,",,0",,
